,main_style,brewery_name,beer_style,beer_name,beer_abv,cluster,avg_review_overall_p_style_p_group,avg_review_aroma_p_style_p_group,avg_review_appearance_p_style_p_group,avg_review_palate_p_style_p_group,avg_review_taste_p_style_p_group,total_reviews_per_style_by_cluster,total_reviews_by_cluster,avg_review_overall_p_beer_p_style_p_group,avg_review_aroma_p_beer_p_style_p_group,avg_review_appearance_p_beer_p_style_p_group,avg_review_palate_p_beer_p_style_p_group,avg_review_taste_p_beer_p_style_p_group,total_reviews_per_beer_per_style_by_cluster,full_total_styles,full_total_beers,review_overall_per_group_full,review_appearance_per_group_full,review_palate_per_group_full,review_taste_per_group_full,review_aroma_per_group_full,full_total_groups
10,Stouts,Ceres Brewery (Royal Unibrew),Foreign / Export Stout,Ceres Royal Stout (Ceres Extra Strong Stout),7.7,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,4.0,3.5,3.5,4.0,4.0,1.0,166797,25,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
11,Strong Ales,New England Brewing Co.,American Strong Ale,Gold Stock Ale,6.5,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,4.5,4.0,4.5,4.5,1.0,207116,35,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
12,Wheat Beers,Mudshark Brewing Co.,Hefeweizen,Dry Heat Hefeweizen,5.5,0.0,3.96,3.69,3.78,3.75,3.81,203.0,3104.0,4.0,4.5,4.0,3.0,4.0,1.0,86224,16,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
13,Wild/Sour Beers,Brouwerij Drie Fonteinen,Faro,Drie Fonteinen Straffe Winter,8.0,0.0,4.19,4.11,4.07,4.11,4.16,99.0,3104.0,5.0,4.5,4.5,4.5,5.0,1.0,32378,37,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
14,Bocks,Surly Brewing Company,Doppelbock,One,9.0,1.0,3.85,3.8,3.87,3.84,3.88,35026.0,976821.0,4.33,3.94,4.06,4.33,4.44,9.0,50610,15,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
15,Brown Ales,Margaritaville Brewing Co.,American Brown Ale,Lone Palm Ale,5.0,1.0,3.82,3.68,3.82,3.69,3.76,33179.0,976821.0,2.7,3.0,3.4,3.1,2.7,5.0,48899,13,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
16,Dark Ales,Antares,Scottish Ale,Scotch,6.0,1.0,3.82,3.79,3.94,3.77,3.82,42115.0,976821.0,3.38,3.38,3.5,3.12,3.06,8.0,60821,19,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
17,Dark Lagers,Browary Warmi&#324;sko-Mazurskie Jurand Sp. Z O.o.,Euro Dark Lager,Dublin Irish Style Dark Beer,5.3,1.0,3.72,3.49,3.72,3.57,3.59,40413.0,976821.0,3.32,3.25,3.82,3.39,3.18,14.0,60925,15,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
18,Hybrid Beers,City Steam Brewery Café,Bière de Garde,City Steam Careless Love,7.2,1.0,3.78,3.63,3.79,3.72,3.71,12384.0,976821.0,4.18,4.04,3.82,4.18,4.29,14.0,15775,15,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
19,India Pale Ales,Southend Brewery & Smokehouse,American IPA,Jack Frost,7.0,1.0,3.95,3.95,4.01,3.91,3.95,139663.0,976821.0,3.5,3.5,4.0,3.5,4.0,1.0,210717,21,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
20,Pale Ales,Anheuser-Busch,American Amber / Red Ale,Lone Palm Ale,5.0,1.0,3.82,3.65,3.82,3.69,3.7,147331.0,976821.0,3.4,2.8,3.3,2.9,3.1,5.0,208731,13,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
21,Pilseners and Pale Lagers,Okanagan Spring Brewery,American Pale Lager,25th Anniversary Hopped Lager,5.2,1.0,3.34,3.0,3.26,3.18,3.13,74541.0,976821.0,3.69,3.44,3.62,3.44,3.56,8.0,116531,14,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
22,Porters,OPA-OPA Steakhouse & Brewery,American Porter,Southampton Porter,6.7,1.0,3.9,3.85,3.96,3.81,3.91,46937.0,976821.0,4.12,3.91,3.94,3.85,3.97,17.0,67373,22,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
23,Specialty Beers,Cannery Brewing Company,Fruit / Vegetable Beer,Apricot Wheat Ale,5.0,1.0,3.59,3.67,3.67,3.58,3.61,59135.0,976821.0,3.71,3.67,3.75,3.79,3.67,12.0,83381,15,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
24,Stouts,Ellicottville Brewing Co.,Oatmeal Stout,Black Jack,12.5,1.0,3.96,3.99,4.1,3.96,4.03,112174.0,976821.0,4.25,4.17,4.42,4.17,4.42,6.0,166797,21,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
25,Strong Ales,Square One Brewery,Scotch Ale / Wee Heavy,Scotch,10.0,1.0,3.91,3.97,3.99,3.95,4.01,148766.0,976821.0,4.0,3.93,3.93,3.93,4.14,7.0,207116,19,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
26,Wheat Beers,Tallgrass Brewing Company,Witbier,Tallgrass Wheat,4.4,1.0,3.8,3.64,3.72,3.65,3.66,58517.0,976821.0,3.3,3.35,3.3,3.3,3.2,10.0,86224,14,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
27,Wild/Sour Beers,Avery Brewing Company,American Wild Ale,Quinquepartite,9.91,1.0,4.05,4.09,4.0,4.01,4.11,26640.0,976821.0,4.05,4.03,4.0,4.1,4.03,29.0,32378,34,3.823211724563661,3.860898260786777,3.763137258515122,3.800164513252684,3.7593561153988295,976821.0
28,Bocks,Wasatch Brew Pub,Doppelbock,The Devastator Double Bock,8.0,2.0,3.37,3.39,3.89,3.35,3.44,31.0,3714.0,2.5,2.5,4.0,3.5,3.0,1.0,50610,33,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
29,Brown Ales,Diamond Knot Brewery,American Brown Ale,Diamond Knot Brown Ale,5.6,2.0,3.66,3.55,3.86,3.62,3.74,55.0,3714.0,4.0,3.5,3.0,3.0,4.0,1.0,48899,25,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
30,Dark Ales,Alaskan Brewing Co.,American Black Ale,Alaskan Double Black IPA (Pilot Series),8.5,2.0,3.57,3.71,3.88,3.54,3.73,60.0,3714.0,3.0,4.0,4.0,3.0,3.5,1.0,60821,37,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
31,Dark Lagers,Dinkelacker-Schwabenbraeu AG,Märzen / Oktoberfest,Das Echte Maerzen,5.5,2.0,3.34,3.29,3.55,3.27,3.24,55.0,3714.0,4.0,3.0,4.0,4.0,4.0,1.0,60925,23,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
32,Hybrid Beers,Heavy Seas Beer,Cream Ale,Heavy Seas - Davy Jones Lager (Imperial Cream Ale),7.0,2.0,3.87,3.65,3.85,3.81,3.81,26.0,3714.0,4.0,3.5,4.0,4.5,4.0,1.0,15775,28,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
33,India Pale Ales,Brasserie Dunham,American IPA,Hoppy,5.5,2.0,4.3,4.23,4.19,4.15,4.33,3037.0,3714.0,4.5,4.0,4.0,4.0,3.5,1.0,210717,21,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
34,Pale Ales,Terrapin Beer Company,American Amber / Red Ale,Terrapin Big Sloppy Monster,8.3,2.0,1.37,2.18,3.03,1.84,1.63,19.0,3714.0,2.0,4.0,3.5,3.0,2.5,1.0,208731,15,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
35,Pilseners and Pale Lagers,Brauerei Gilde,German Pilsener,Gilde Pilsener,4.9,2.0,3.33,2.75,3.1,2.97,3.03,152.0,3714.0,4.0,3.5,3.5,4.0,4.0,1.0,116531,14,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
36,Porters,Port Brewing Company / Pizza Port,American Porter,Back In Mak (La Cruda),6.7,2.0,3.79,3.73,3.96,3.73,3.84,56.0,3714.0,4.0,4.0,4.5,3.0,5.0,1.0,67373,22,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
37,Specialty Beers,Allentown Brew Works,Pumpkin Ale,Devious,9.0,2.0,3.1,3.48,3.56,3.12,3.07,82.0,3714.0,4.5,4.0,4.0,4.5,4.5,1.0,83381,32,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
38,Stouts,Brau Brothers Brewing Co. LLC,Milk / Sweet Stout,Cream Stout,5.0,2.0,1.58,2.67,4.0,2.92,1.83,6.0,3714.0,1.0,2.0,4.0,1.0,1.0,1.0,166797,119,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
39,Strong Ales,Boulder Beer / Wilderness Pub,American Barleywine,Killer Penguin Barleywine,10.0,2.0,1.65,2.75,3.2,2.5,2.0,10.0,3714.0,1.5,2.5,3.5,2.5,1.0,1.0,207116,231,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
40,Wheat Beers,"City Brewing Company, LLC",American Pale Wheat Ale,Golden Leaf,5.0,2.0,3.45,3.22,3.53,3.35,3.31,75.0,3714.0,3.5,3.5,3.0,2.5,3.0,1.0,86224,16,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
41,Wild/Sour Beers,The Bruery,American Wild Ale,Vitis Series: Pinotlambicus,8.4,2.0,4.2,4.37,4.13,4.26,4.3,50.0,3714.0,4.0,4.0,3.5,4.0,3.5,1.0,32378,42,4.138260635433495,4.084679590737749,4.001077005923532,4.152127086698977,4.062331717824448,3714.0
42,Bocks,Oak Pond Brewing Company,Doppelbock,Storyteller Doppelbock,8.0,3.0,3.83,3.71,3.85,3.79,3.88,757.0,19046.0,3.5,2.0,3.5,4.0,4.0,1.0,50610,18,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
43,Brown Ales,Minneapolis Town Hall Brewery,American Brown Ale,Mocha Java Double Brown,5.4,3.0,3.92,3.71,3.88,3.75,3.88,1016.0,19046.0,4.0,4.0,4.0,4.0,4.5,1.0,48899,13,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
44,Dark Ales,Anchor Brewing Company,Winter Warmer,Our Special Ale 1998 (Anchor Christmas Ale),5.5,3.0,1.81,2.69,3.44,2.25,2.19,8.0,19046.0,3.0,3.5,4.0,3.0,3.5,1.0,60821,20,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
45,Dark Lagers,Browary Warmi&#324;sko-Mazurskie Jurand Sp. Z O.o.,Euro Dark Lager,Dublin Irish Style Dark Beer,5.3,3.0,3.79,3.46,3.74,3.58,3.67,1314.0,19046.0,3.5,4.0,3.0,3.5,4.0,1.0,60925,15,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
46,Hybrid Beers,Pump House Brewery,Cream Ale,Cadian Cream Ale,5.0,3.0,3.65,3.39,3.62,3.55,3.56,146.0,19046.0,4.0,3.0,3.5,3.5,3.0,1.0,15775,21,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
47,India Pale Ales,Brasserie Dunham,American IPA,Hoppy,5.5,3.0,3.98,3.99,3.98,3.93,4.03,2675.0,19046.0,3.0,3.0,4.0,3.0,3.0,1.0,210717,21,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
48,Pale Ales,Anheuser-Busch,American Amber / Red Ale,Lone Palm Ale,4.7,3.0,3.83,3.57,3.76,3.66,3.73,2738.0,19046.0,3.0,3.0,4.0,3.0,2.5,1.0,208731,13,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
49,Pilseners and Pale Lagers,Cerveceria Nacional Dominicana,Light Lager,Presidente Light,4.3,3.0,3.31,2.75,2.96,3.01,3.0,2647.0,19046.0,3.0,2.0,2.0,2.0,3.0,1.0,116531,14,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
50,Porters,Estes Park Brewery,American Porter,Estes Park Porter,5.4,3.0,3.92,3.82,3.98,3.82,3.94,1048.0,19046.0,3.5,3.5,4.0,4.0,3.5,1.0,67373,22,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
51,Specialty Beers,Brouwerij Smisje,Pumpkin Ale,De Regenboog Speciale,10.5,3.0,3.5,3.6,3.59,3.46,3.52,1170.0,19046.0,4.5,4.0,4.5,5.0,5.0,1.0,83381,15,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
52,Stouts,Ellicottville Brewing Co.,Oatmeal Stout,Black Jack,6.6,3.0,4.0,3.99,4.19,3.99,4.1,2125.0,19046.0,5.0,4.5,4.5,5.0,5.0,1.0,166797,21,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
53,Strong Ales,McKenzie Brew House,Belgian Strong Dark Ale,Abbey 8,8.0,3.0,3.92,3.99,4.04,3.98,4.11,1812.0,19046.0,4.5,4.5,4.0,4.5,4.5,1.0,207116,25,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
54,Wheat Beers,Tallgrass Brewing Company,Witbier,Tallgrass Wheat,4.4,3.0,3.85,3.61,3.7,3.66,3.73,1560.0,19046.0,4.5,4.0,3.5,3.5,4.0,1.0,86224,14,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
55,Wild/Sour Beers,Surly Brewing Company,American Wild Ale,Five,8.2,3.0,3.42,3.73,3.93,3.77,3.78,30.0,19046.0,3.0,3.0,3.0,3.0,3.0,1.0,32378,85,3.7926861283209075,3.7597133256326787,3.675811193951486,3.755854247611047,3.6249868738842803,19046.0
56,Bocks,Dreher Brewery,Bock,Dreher Bak,7.3,4.0,3.62,3.76,3.99,3.8,3.8,54.0,3023.0,3.0,3.0,3.5,3.5,3.5,1.0,50610,22,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
57,Brown Ales,Kona Brewing Co.,American Brown Ale,Koko Brown,5.5,4.0,3.52,3.76,4.02,3.76,3.91,23.0,3023.0,3.0,3.0,4.0,3.0,3.5,1.0,48899,62,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
58,Dark Ales,Isle of Arran Brewery Company Ltd.,Scottish Ale,Arran Dark,4.3,4.0,3.05,3.37,3.81,3.16,3.15,43.0,3023.0,3.0,3.5,3.5,3.5,2.5,1.0,60821,32,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
59,Dark Lagers,Heiner Brau,Märzen / Oktoberfest,Mardi Gras Festbier,5.0,4.0,3.46,3.37,3.73,3.36,3.27,35.0,3023.0,1.5,2.0,2.5,2.0,2.0,1.0,60925,27,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
60,Hybrid Beers,The Brewer's Art,Bière de Garde,Brewer's Art La Petroleuse,7.8,4.0,3.86,3.66,3.72,3.72,3.72,25.0,3023.0,4.5,4.5,4.0,4.0,4.5,1.0,15775,18,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
61,India Pale Ales,Sherwood Forest Brewers Ltd.,English India Pale Ale (IPA),Sheriff's India Pale Ale,5.46,4.0,1.5,2.14,3.0,2.11,1.39,14.0,3023.0,1.0,4.0,4.0,3.0,1.0,1.0,210717,70,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
62,Pale Ales,Nebraska Brewing Company,American Pale Ale (APA),NBC Cardinal Pale Ale,6.1,4.0,3.7,3.59,3.79,3.63,3.62,192.0,3023.0,5.0,4.5,5.0,4.5,5.0,1.0,208731,14,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
63,Pilseners and Pale Lagers,Baltika Breweries,Euro Pale Lager,Cooler,4.7,4.0,3.17,2.7,2.97,2.86,2.94,152.0,3023.0,3.0,2.0,3.0,2.0,2.5,1.0,116531,14,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
64,Porters,Brouwerij De Molen,English Porter,1914 Porter,5.8,4.0,3.75,3.72,3.97,3.67,3.78,57.0,3023.0,1.5,2.5,4.0,1.5,1.5,1.0,67373,22,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
65,Specialty Beers,Moonlight Brewing Company,Scottish Gruit / Ancient Herbed Ale,Working For Tips,5.5,4.0,1.85,2.67,3.1,2.21,2.12,24.0,3023.0,2.5,5.0,5.0,3.0,4.5,1.0,83381,17,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
66,Stouts,McNeill's Brewery,Oatmeal Stout,McNeill's Oatmeal Stout,4.9,4.0,1.97,2.72,3.58,2.61,2.36,18.0,3023.0,1.5,2.5,3.5,3.0,1.5,1.0,166797,60,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
67,Strong Ales,Antares,American Barleywine,Simpatico,10.0,4.0,4.31,4.21,4.24,4.22,4.37,2231.0,3023.0,3.5,4.0,3.75,3.25,4.0,2.0,207116,21,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
68,Wheat Beers,Tractor Brewing Co.,American Pale Wheat Ale,Haymaker Honey Wheat,5.0,4.0,3.64,3.59,3.72,3.56,3.6,116.0,3023.0,1.0,2.0,2.5,1.0,1.0,1.0,86224,15,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
69,Wild/Sour Beers,Gueuzerie Tilquin,Gueuze,Gueuze Tilquin (Draught Version),4.8,4.0,4.04,4.22,4.15,4.04,4.17,39.0,3023.0,3.0,4.0,3.0,3.0,3.5,1.0,32378,37,4.075587165067813,4.07922593450215,3.9978498180615283,4.1123056566324845,3.992557062520675,3023.0
70,Bocks,Atwater Block Brewery,Weizenbock,Teufel Bock,10.9,5.0,1.58,2.7,3.3,2.26,1.84,25.0,1079.0,1.0,2.5,3.5,2.0,1.0,1.0,50610,19,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
71,Brown Ales,Jester King Craft Brewery,English Dark Mild Ale,Commercial Suicide,3.3,5.0,1.62,2.34,3.03,2.06,1.72,16.0,1079.0,1.0,1.5,2.0,2.0,1.0,1.0,48899,40,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
72,Dark Ales,Valkyrie Brewing,Belgian Dark Ale,Abby Normal,5.5,5.0,1.64,2.47,3.11,2.34,1.67,38.0,1079.0,1.0,2.0,2.0,1.0,1.0,1.0,60821,22,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
73,Dark Lagers,Klosterbrauerei Neuzelle GmbH,Schwarzbier,Neuzeller Kloster-Bräu Schwarzer Abt (Black Abbot),3.9,5.0,1.61,2.3,2.95,2.28,1.86,32.0,1079.0,1.0,2.0,3.0,1.5,1.0,1.0,60925,33,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
74,Hybrid Beers,Trafalgar Ales & Meads,Cream Ale,Trafalgar Cedar Cream Ale,5.0,5.0,3.87,3.6,3.97,3.76,3.79,124.0,1079.0,1.5,3.0,3.0,1.5,1.0,1.0,15775,16,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
75,India Pale Ales,New Orleans Lager & Ale Brewing Company (NOLA),American IPA,Hopitoulas IPA,6.0,5.0,1.58,2.46,3.18,2.35,1.76,85.0,1079.0,2.0,3.0,3.0,2.0,1.5,1.0,210717,37,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
76,Pale Ales,Battered Boar Brewing Company,American Pale Ale (APA),Company Man Pale Ale,8.0,5.0,1.63,2.34,3.13,2.34,1.68,109.0,1079.0,1.5,2.0,2.5,2.5,1.5,2.0,208731,13,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
77,Pilseners and Pale Lagers,Lightning Brewery,German Pilsener,Elemental Pilsener,5.5,5.0,1.21,1.65,2.07,1.54,1.27,154.0,1079.0,1.0,4.0,5.0,1.0,2.5,1.0,116531,14,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
78,Porters,Atwater Block Brewery,American Porter,Atwater Shaman's Porter,6.0,5.0,1.7,2.75,3.23,2.23,1.95,22.0,1079.0,1.0,1.5,4.0,2.0,1.0,1.0,67373,25,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
79,Specialty Beers,Bayou Teche Brewery,Smoked Beer,LA-31 Boucanèe,4.5,5.0,1.45,2.13,2.71,2.02,1.55,123.0,1079.0,1.0,1.0,4.0,4.0,1.0,1.0,83381,15,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
80,Stouts,Triple J Chophouse And Brew Co,American Stout,Blackout Stout,4.5,5.0,1.61,2.73,3.62,2.24,1.84,64.0,1079.0,2.0,4.0,3.5,1.5,2.0,1.0,166797,36,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
81,Strong Ales,Elysian Brewing Company,Tripel,Bete Blanche Belgian-Style Tripel,7.5,5.0,1.55,2.91,3.72,2.67,1.81,55.0,1079.0,1.5,3.0,4.0,3.0,1.0,1.0,207116,48,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
82,Wheat Beers,Tractor Brewing Co.,American Pale Wheat Ale,Haymaker Honey Wheat,5.5,5.0,1.55,2.23,2.94,2.07,1.5,54.0,1079.0,1.25,1.5,1.5,1.25,1.25,2.0,86224,15,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
83,Wild/Sour Beers,The Bruery,American Wild Ale,Provisions Series: Gunga Galunga,7.7,5.0,4.1,4.06,4.15,4.05,4.22,178.0,1079.0,5.0,3.5,4.0,4.5,4.5,1.0,32378,35,2.201112140871177,3.246524559777572,2.623725671918443,2.2961075069508805,2.7238183503243745,1079.0
84,Bocks,Goose Island Beer Co.,Weizenbock,Dunkelweizenbock,7.6,6.0,3.71,3.63,3.8,3.64,3.77,173.0,11628.0,4.0,4.0,4.5,4.5,4.0,1.0,50610,18,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
